path	colname
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Language
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Arabic
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Bulgarian
..\results\balanced_length\results_sentiment_balanced_length.xlsx	English
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Basque
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Finnish
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Hebrew
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Croatian
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Korean
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Slovak
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Thai
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Vietnamese
..\results\balanced_length\results_sentiment_balanced_length.xlsx	Chinese
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Group
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Test\Train
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Bulgarian
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	English
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Slovak
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Croatian
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Chinese
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Vietnamese
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Thai
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Finnish
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Basque
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Korean
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Arabic
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Hebrew
..\results\balanced_length\results_sentiment_postprocessed_balanced_length.xlsx	Baseline
..\results\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Group
..\results\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Language
..\results\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Cross-Language-F1
..\results\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Within-Language-F1
..\results\balanced_length\sentiment_within_cross_accuracy_balanced_length.xlsx	Mean-F1-Over-Language
..\results\predictions\pos_full_labels.xlsx	Arabic
..\results\predictions\pos_full_labels.xlsx	Bulgarian
..\results\predictions\pos_full_labels.xlsx	English
..\results\predictions\pos_full_labels.xlsx	Basque
..\results\predictions\pos_full_labels.xlsx	Finnish
..\results\predictions\pos_full_labels.xlsx	Hebrew
..\results\predictions\pos_full_labels.xlsx	Croatian
..\results\predictions\pos_full_labels.xlsx	Japanese
..\results\predictions\pos_full_labels.xlsx	Korean
..\results\predictions\pos_full_labels.xlsx	Russian
..\results\predictions\pos_full_labels.xlsx	Slovak
..\results\predictions\pos_full_labels.xlsx	Turkish
..\results\predictions\pos_full_labels.xlsx	Vietnamese
..\results\predictions\pos_full_labels.xlsx	Chinese
..\results\predictions\pos_full_preds.xlsx	Arabic
..\results\predictions\pos_full_preds.xlsx	Bulgarian
..\results\predictions\pos_full_preds.xlsx	English
..\results\predictions\pos_full_preds.xlsx	Basque
..\results\predictions\pos_full_preds.xlsx	Finnish
..\results\predictions\pos_full_preds.xlsx	Hebrew
..\results\predictions\pos_full_preds.xlsx	Croatian
..\results\predictions\pos_full_preds.xlsx	Japanese
..\results\predictions\pos_full_preds.xlsx	Korean
..\results\predictions\pos_full_preds.xlsx	Russian
..\results\predictions\pos_full_preds.xlsx	Slovak
..\results\predictions\pos_full_preds.xlsx	Turkish
..\results\predictions\pos_full_preds.xlsx	Vietnamese
..\results\predictions\pos_full_preds.xlsx	Chinese
..\results\predictions\pos_reconstructed_labels.xlsx	Arabic
..\results\predictions\pos_reconstructed_labels.xlsx	Bulgarian
..\results\predictions\pos_reconstructed_labels.xlsx	English
..\results\predictions\pos_reconstructed_labels.xlsx	Basque
..\results\predictions\pos_reconstructed_labels.xlsx	Finnish
..\results\predictions\pos_reconstructed_labels.xlsx	Hebrew
..\results\predictions\pos_reconstructed_labels.xlsx	Croatian
..\results\predictions\pos_reconstructed_labels.xlsx	Japanese
..\results\predictions\pos_reconstructed_labels.xlsx	Korean
..\results\predictions\pos_reconstructed_labels.xlsx	Russian
..\results\predictions\pos_reconstructed_labels.xlsx	Slovak
..\results\predictions\pos_reconstructed_labels.xlsx	Turkish
..\results\predictions\pos_reconstructed_labels.xlsx	Vietnamese
..\results\predictions\pos_reconstructed_labels.xlsx	Chinese
..\results\predictions\pos_reconstructed_preds.xlsx	Arabic
..\results\predictions\pos_reconstructed_preds.xlsx	Bulgarian
..\results\predictions\pos_reconstructed_preds.xlsx	English
..\results\predictions\pos_reconstructed_preds.xlsx	Basque
..\results\predictions\pos_reconstructed_preds.xlsx	Finnish
..\results\predictions\pos_reconstructed_preds.xlsx	Hebrew
..\results\predictions\pos_reconstructed_preds.xlsx	Croatian
..\results\predictions\pos_reconstructed_preds.xlsx	Japanese
..\results\predictions\pos_reconstructed_preds.xlsx	Korean
..\results\predictions\pos_reconstructed_preds.xlsx	Russian
..\results\predictions\pos_reconstructed_preds.xlsx	Slovak
..\results\predictions\pos_reconstructed_preds.xlsx	Turkish
..\results\predictions\pos_reconstructed_preds.xlsx	Vietnamese
..\results\predictions\pos_reconstructed_preds.xlsx	Chinese
..\utils\lang_codes.xlsx	ISO 639-2 Code
..\utils\lang_codes.xlsx	ISO 639-1 Code
..\utils\lang_codes.xlsx	English name of Language
..\utils\lang_codes.xlsx	French name of Language
..\utils\lang_codes.xlsx	German name of Language
